name,gender,City,State,Age,charges
mahaveer jain,m,Cuddalore,Tamil Nadu ,48,Land encroachment
roopa,f,Bidar,Karnataka,52,Extortion (Sec 383)
dinesh_2.0,m,Varanasi,Uttar Pradesh,45,"Partition suits, Child custody"
seema_6.0,f,Jodhpur,Rajasthan,74,"Assault (Sec 351), Partition suits, Bigamy (Sec 494)"
kiran pal,m,Thiruvananthapuram,Kerala,58,"Consumer complaints, Kidnapping (Sec 363–369)"
jockyipai,m,Budaun,Uttar Pradesh,76,"Money laundering, Robbery (Sec 392)"
ram kishan,m,Coimbatore,Tamil Nadu ,39,"Dowry death (Sec 304B), Property disputes, Dacoity (Sec 395)"
rajesh kumar,m,Chirala,Andhra Pradesh,44,"Abetment of suicide (Sec 306), Sexual offences against children (POSCO Act), Overspeeding"
fareem,f,Karimnagar,Telangana,74,"Breach of contract, Atrocities against SC/ST (SC/ST Act), Abetment of suicide (Sec 306)"
suman_2.0,f,Daman,Daman and Diu,26,"Adultery (Sec 497 now decriminalized), Criminal misappropriation (Sec 403)"
sudesh rani,f,Patiala,Punjab,73,"Counterfeiting currency (Sec 489A), Money laundering (PMLA), Concealing intent to wage war (Sec 123)"
sajid,m,Samlaipadar,Odisha,47,"Pollution Control Board violations, Driving without a license"
manoj_2.0,m,Delhi,Delhi,35,"Forgery (Sec 463), Land encroachment, Criminal misappropriation (Sec 403)"
sumit_1.0,m,Shimoga,Karnataka,56,"Money laundering (PMLA), Cheating (Sec 415)"
payal,f,Sirsa,Haryana,65,"Breach of contract, Sexual offences against children (POSCO Act), Driving without a license"
seema_7.0,f,Tirupati,Andhra Pradesh,34,Cheating (Sec 415)
govind singh,m,Jammu,Jammu and Kashmir,72,"Drunk driving, Pollution Control Board violations, Illegal possession or use of arms (Arms Act)"
smt ishawari,f,Hubli,Karnataka,46,"Unlawful activities (UAPA), Rape (Sec 376), Drunk driving"
ramdas,m,Bharatpur,Rajasthan,22,Robbery (Sec 392)
kundan,m,Brahmapur,Odisha,22,Money laundering
nazima,f,Aizawl  ,Mizoram,66,"Theft (Sec 378), Extortion (Sec 383)"
lakshman nath,m,Navsari,Gujarat,65,"Murder (Sec 302), Illegal possession or use of arms (Arms Act)"
anshu gupta,f,Ranchi,Jharkhand,30,Atrocities against SC/ST (SC/ST Act)
daks,m,Sonipat,Haryana,70,"Unlawful activities (UAPA), Money laundering (PMLA), Money laundering"
smt girjesh,f,Nanded,Maharashtra,42,Cruelty by husband or relatives (Sec 498A)
sanjay kumar_1.0,m,Haripur,Punjab,33,"Concealing intent to wage war (Sec 123), Hacking"
sharda,f,Agartala,Tripura,54,Environmental violations (EPA)
arshad,m,Udaipur,Rajasthan,52,Overspeeding
pawan kumar_2.0,m,Hubli,Karnataka,35,"Waging war against the Government (Sec 121), Sexual offences against children (POSCO Act), Hacking"
vimal,m,Ghandinagar,Gujarat,29,"Cruelty by husband or relatives (Sec 498A), Criminal misappropriation (Sec 403)"
meharban,m,Bamanpuri,Uttar Pradesh,75,Property disputes
jyoti kanwar,f,Bhusaval,Maharashtra,35,Money laundering
parbhat,m,Dhanbad,Jharkhand,59,Fraud
nasira bano,f,Alipurduar,West Bengal,79,Forgery (Sec 463)
deepak tiwari,m,Tiruvannamalai,Tamil Nadu ,57,"Kidnapping (Sec 363–369), Civil contempt"
abhishek_1.0,m,Saidapur,Uttar Pradesh,75,"Criminal breach of trust (Sec 405), Extortion (Sec 383)"
sushil,m,Saugor,Madhya Pradesh,62,"Cyber stalking, Robbery (Sec 392)"
omprakash,m,DehraDun,Uttarakhand,46,"Attempt to murder (Sec 307), Counterfeiting currency (Sec 489A), Overspeeding"
ram lal,m,Patna,Bihar,53,"Concealing intent to wage war (Sec 123), Waging war against the Government (Sec 121), Atrocities against SC/ST (SC/ST Act)"
rahul shah,m,Patiala,Punjab,25,"Land encroachment, Overspeeding"
kirodimal,m,Shillong ,Meghalaya,69,Abetment of suicide (Sec 306)
anjali_5.0,f,Surat,Gujarat,77,"Fraud, Environmental violations (EPA)"
sejan,f,Haora,West Bengal,54,Violation of traffic signals
sita,f,Puri,Odisha,27,"Property disputes, Fraud"
smt shayma,f,Shimoga,Karnataka,40,Robbery (Sec 392)
sithal,f,New Delhi,Delhi,74,Money laundering
suraj_2.0,m,Vishakhapatnam,Andhra Pradesh,70,Abetment of suicide (Sec 306)
saurabh s/o,m,Mysore,Karnataka,31,Forgery (Sec 463)
phoola,f,Bhilwara,Rajasthan,35,"Criminal misappropriation (Sec 403), Bigamy (Sec 494)"
sohan singh,m,Puri,Odisha,48,"Criminal contempt, Illegal possession or use of arms (Arms Act), Theft (Sec 378)"
banita,f,Bhopal ,Madhya Pradesh,55,"Cyber stalking, Cheating (Sec 415), Culpable homicide (Sec 304)"
ajay_2.0,m,Purnea,Bihar,71,"Breach of contract, Concealing intent to wage war (Sec 123)"
pooja_16.0,f,Chandigarh ,Chandigarh,23,"Violation of traffic signals, Sexual offences against children (POSCO Act)"
heena_2.0,f,Aurangabad,Maharashtra,36,"Adultery (Sec 497 now decriminalized), Abetment of suicide (Sec 306)"
anjali sharma,f,Lucknow,Uttar Pradesh,25,"Counterfeiting currency (Sec 489A), Assault (Sec 351)"
roshani,f,Bharatpur,Rajasthan,63,"Overspeeding, Culpable homicide (Sec 304), Breach of contract"
mohd aslam,f,Kollam,Kerala,29,Culpable homicide (Sec 304)
rani bakhla,f,Daman,Daman and Diu,69,"Overspeeding, Partition suits, Adultery (Sec 497 now decriminalized)"
reshma_1.0,f,Samlaipadar,Odisha,77,"Atrocities against SC/ST (SC/ST Act), Online harassment, Unlawful activities (UAPA)"
kavita_2.0,f,Bhagalpur,Bihar,27,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Theft (Sec 378), Cyber stalking"
midda,m,Bharauri,Uttar Pradesh,24,"Kidnapping (Sec 363–369), Money laundering (PMLA), Online harassment"
sangeeta_2.0,f,Raurkela,Odisha,77,"Atrocities against SC/ST (SC/ST Act), Robbery (Sec 392), Forgery (Sec 463)"
dheeraj_1.0,m,Gulbarga,Karnataka,35,"Dowry death (Sec 304B), Illegal possession or use of arms (Arms Act), Waging war against the Government (Sec 121)"
rajesh tiwari,m,Bharatpur,Rajasthan,53,"Cheating (Sec 415), Money laundering"
vinod_1.0,m,Baramula,Jammu and Kashmir,54,Sedition (Sec 124A)
anil kumar_3.0,m,Saharanpur,Uttar Pradesh,26,Dacoity (Sec 395)
neha_3.0,f,Dibrugarh,Assam,77,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Cruelty by husband or relatives (Sec 498A), Rape (Sec 376)"
rina rangaswami,f,Puri,Odisha,45,Data theft
birender pal,m,Alappuzha,Kerala,59,"Rape (Sec 376), Criminal breach of trust (Sec 405), Online harassment"
renu_2.0,f,Bareilly,Uttar Pradesh,45,"Adultery (Sec 497 now decriminalized), Cheating (Sec 415), Money laundering"
raja babu_1.0,m,Bareilly,Uttar Pradesh,74,"Rape (Sec 376), Robbery (Sec 392)"
bhavana,f,Patiala,Punjab,43,Robbery (Sec 392)
doli_1.0,f,Puducherry,Puducherry,37,"Forgery (Sec 463), Culpable homicide (Sec 304)"
vijay kumar_3.0,m,Jabalpur,Madhya Pradesh,44,"Cruelty by husband or relatives (Sec 498A), Divorce and matrimonial issues"
vickky,m,Brajrajnagar,Odisha,42,"Kidnapping (Sec 363–369), Sedition (Sec 124A)"
barkha,f,Puducherry,Puducherry,54,"Fraud, Assault (Sec 351)"
feflibai,f,Tezpur,Assam,23,"Atrocities against SC/ST (SC/ST Act), Criminal misappropriation (Sec 403)"
rohit_4.0,m,Jodhpur,Rajasthan,77,"Breach of contract, Bigamy (Sec 494), Drunk driving"
sumit raghav,m,Silchar,Assam,67,"Abetment of suicide (Sec 306), Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Sedition (Sec 124A)"
simpi kumari,f,Tirupati,Andhra Pradesh,24,"Criminal breach of trust (Sec 405), Breach of contract, Abetment of suicide (Sec 306)"
shamina,f,Hapur,Uttar Pradesh,51,Divorce and matrimonial issues
ankita bagh,f,Jodhpur,Rajasthan,56,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Criminal contempt"
neha_4.0,f,Port Blair,Andaman and Nicobar Islands,61,"Fraud, Environmental violations (EPA), Theft (Sec 378)"
meena w/o,f,Itanagar,Arunachal Pradesh,34,Pollution Control Board violations
rame,m,Tonk,Rajasthan,76,"Murder (Sec 302), Criminal breach of trust (Sec 405), Culpable homicide (Sec 304)"
km0 rubi,f,Mysore,Karnataka,76,"Theft (Sec 378), Drunk driving, Bigamy (Sec 494)"
ashok_1.0,m,Aizawl  ,Mizoram,25,"Atrocities against SC/ST (SC/ST Act), Criminal breach of trust (Sec 405), Violation of traffic signals"
sunita_3.0,f,Dibrugarh,Assam,72,"Rape (Sec 376), Extortion (Sec 383), Attempt to murder (Sec 307)"
asha_3.0,f,Saidpur,Jammu and Kashmir,27,Kidnapping (Sec 363–369)
lokesh,m,Shimoga,Karnataka,43,"Attempt to murder (Sec 307), Adultery (Sec 497 now decriminalized)"
satwinder kaur,f,Bhagalpur,Bihar,45,Extortion (Sec 383)
imtyaz,m,Rajkot,Gujarat,26,"Criminal misappropriation (Sec 403), Unlawful activities (UAPA)"
soniya_4.0,f,Mumbai,Maharashtra,75,"Dowry death (Sec 304B), Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Adultery (Sec 497 now decriminalized)"
panchhi ramji,m,Alappuzha,Kerala,77,Adultery (Sec 497 now decriminalized)
harender kumar,m,Nandyal,Andhra Pradesh,77,"Unlawful activities (UAPA), Adultery (Sec 497 now decriminalized), Robbery (Sec 392)"
akash_1.0,m,Khammam,Telangana,21,Criminal contempt
seema_8.0,f,Amritsar,Punjab,59,"Cyber stalking, Concealing intent to wage war (Sec 123), Rape (Sec 376)"
malvika,f,Ghandinagar,Gujarat,52,"Concealing intent to wage war (Sec 123), Pollution Control Board violations, Illegal possession or use of arms (Arms Act)"
bhatri,f,Hindupur,Andhra Pradesh,33,"Drunk driving, Overspeeding"
pankaj_1.0,f,Thanjavur,Tamil Nadu ,73,"Waging war against the Government (Sec 121), Online harassment, Concealing intent to wage war (Sec 123)"
ramesh meena,m,Bhilwara,Rajasthan,68,Child custody
ashok kumar_2.0,m,Pune,Maharashtra,42,"Abetment of suicide (Sec 306), Dacoity (Sec 395), Online harassment"
raju_3.0,m,Jorhat,Assam,57,"Divorce and matrimonial issues, Assault (Sec 351), Forgery (Sec 463)"
gulshan kumar,m,Calicut,Kerala,37,"Adultery (Sec 497 now decriminalized), Violation of traffic signals"
salma,f,Delhi,Delhi,71,"Property disputes, Abetment of suicide (Sec 306), Concealing intent to wage war (Sec 123)"
bimla_1.0,f,Hisar,Haryana,55,Civil contempt
kamla_1.0,f,Amritsar,Punjab,38,Data theft
rebecca xavier,f,Purnea,Bihar,69,"Partition suits, Kidnapping (Sec 363–369)"
rohit kumar,m,Porbandar,Gujarat,61,"Counterfeiting currency (Sec 489A), Cyber stalking"
mohd sayyub,m,Kavaratti,Lakshadweep,29,"Breach of contract, Property disputes, Cruelty by husband or relatives (Sec 498A)"
madhu_2.0,f,Karnal,Haryana,49,"Child custody, Environmental violations (EPA), Land encroachment"
pooja shrama,f,Bhuj,Gujarat,36,Concealing intent to wage war (Sec 123)
megh singh,m,Bakshpur,Uttar Pradesh,23,"Illegal possession or use of arms (Arms Act), Robbery (Sec 392), Atrocities against SC/ST (SC/ST Act)"
gita,f,Alwar,Rajasthan,70,"Breach of contract, Dowry death (Sec 304B), Assault (Sec 351)"
roshan_1.0,f,Kollam,Kerala,23,"Data theft, Breach of contract, Cruelty by husband or relatives (Sec 498A)"
keshav,m,Shahbazpur,Uttar Pradesh,40,Kidnapping (Sec 363–369)
sunita bai,f,Jhansi,Uttar Pradesh,48,Child custody
sangeeta_3.0,f,Patiala,Punjab,55,"Divorce and matrimonial issues, Criminal breach of trust (Sec 405)"
ajman,m,Baramula,Jammu and Kashmir,80,"Civil contempt, Overspeeding, Forgery (Sec 463)"
mukesh_2.0,m,Samlaipadar,Odisha,70,"Culpable homicide (Sec 304), Property disputes"
amit kumar_1.0,m,Khanapur,Maharashtra,66,"Drunk driving, Hacking, Property disputes"
mohini,f,Tirunelveli,Tamil Nadu ,23,Civil contempt
manoj kumar_2.0,m,Abohar,Punjab,40,"Abetment of suicide (Sec 306), Online harassment"
iswar sharan,m,Gurugram,Haryana,76,Concealing intent to wage war (Sec 123)
rekha,f,Panchkula,Haryana,54,Bigamy (Sec 494)
shivani_4.0,f,Gopalpur,Uttar Pradesh,76,"Kidnapping (Sec 363–369), Cyber stalking"
sumit_2.0,m,Karnal,Haryana,40,"Theft (Sec 378), Overspeeding, Counterfeiting currency (Sec 489A)"
aarti_3.0,f,Sirsa,Haryana,53,Environmental violations (EPA)
susant,m,Silvassa,Dadra and Nagar Haveli,28,"Cheating (Sec 415), Waging war against the Government (Sec 121), Illegal possession or use of arms (Arms Act)"
shalini agrawal,f,New Delhi,Delhi,80,"Waging war against the Government (Sec 121), Divorce and matrimonial issues"
kanchan_3.0,f,Puri,Odisha,25,"Online harassment, Hacking"
vijay_1.0,m,DehraDun,Uttarakhand,26,Land encroachment
jeetu,m,Sonipat,Haryana,46,"Online harassment, Pollution Control Board violations, Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
anshu_1.0,m,Shimla,Himachal Pradesh,78,"Illegal possession or use of arms (Arms Act), Theft (Sec 378), Cheating (Sec 415)"
khushbu,f,Khanapur,Maharashtra,40,Land encroachment
aatir saifi,m,Latur,Maharashtra,51,Consumer complaints
aftab,m,Bamanpuri,Uttar Pradesh,48,"Overspeeding, Rape (Sec 376), Partition suits"
sanjay rana,m,Salem,Tamil Nadu ,78,"Overspeeding, Kidnapping (Sec 363–369), Extortion (Sec 383)"
jeesan,m,Raurkela,Odisha,70,"Atrocities against SC/ST (SC/ST Act), Adultery (Sec 497 now decriminalized)"
kumari puja,f,Sangli,Maharashtra,57,Data theft
deepika,f,Bhagalpur,Bihar,26,"Dacoity (Sec 395), Forgery (Sec 463)"
teena,f,Hospet,Karnataka,31,"Environmental violations (EPA), Breach of contract"
reeta_1.0,f,Tharati Etawah,Uttar Pradesh,48,"Data theft, Drunk driving"
abhishek_2.0,m,Machilipatnam,Andhra Pradesh,31,Criminal breach of trust (Sec 405)
km taseem,f,Sikar,Rajasthan,30,"Dowry death (Sec 304B), Bigamy (Sec 494)"
heena_3.0,f,Jaipur,Rajasthan,33,Divorce and matrimonial issues
chanda_2.0,f,Bhilai,Chhattisgarh,37,Money laundering
jagmohan,m,Nalgonda,Telangana,52,"Pollution Control Board violations, Cheating (Sec 415), Atrocities against SC/ST (SC/ST Act)"
komal_6.0,f,Madurai,Tamil Nadu ,45,"Concealing intent to wage war (Sec 123), Driving without a license"
km0 mamta,f,Tirupati,Andhra Pradesh,42,"Counterfeiting currency (Sec 489A), Cruelty by husband or relatives (Sec 498A), Criminal contempt"
seti,m,Chanda,Maharashtra,35,"Cheating (Sec 415), Hacking, Drunk driving"
nikki_1.0,f,Ajmer,Rajasthan,24,"Consumer complaints, Online harassment, Rape (Sec 376)"
shubham giri,m,Dindigul,Tamil Nadu ,25,"Bigamy (Sec 494), Cruelty by husband or relatives (Sec 498A), Online harassment"
netram yadav,m,Kochi,Kerala,24,Dacoity (Sec 395)
anu kumari,f,Ghandinagar,Gujarat,68,Cruelty by husband or relatives (Sec 498A)
vikash,m,Kakinada,Andhra Pradesh,66,"Criminal misappropriation (Sec 403), Consumer complaints"
asha_4.0,f,Hapur,Uttar Pradesh,80,Land encroachment
mohd. hanif,m,Saugor,Madhya Pradesh,28,"Money laundering, Online harassment, Breach of contract"
anjali_6.0,f,Raurkela,Odisha,44,"Cruelty by husband or relatives (Sec 498A), Criminal misappropriation (Sec 403)"
laxmi_4.0,f,Ambala,Haryana,68,Driving without a license
rishma ali,f,Raipur,Chhattisgarh,69,Pollution Control Board violations
"amjat ,najru",m,Itanagar,Arunachal Pradesh,68,"Partition suits, Civil contempt, Waging war against the Government (Sec 121)"
rajni devi,f,Shimla,Himachal Pradesh,72,"Attempt to murder (Sec 307), Rape (Sec 376)"
km dipali,f,Bilaspur,Chhattisgarh,22,"Land encroachment, Criminal breach of trust (Sec 405), Unlawful activities (UAPA)"
rohit agarwal,m,Ratlam,Madhya Pradesh,40,"Drunk driving, Driving without a license"
mamta_6.0,f,Hindupur,Andhra Pradesh,47,"Abetment of suicide (Sec 306), Adultery (Sec 497 now decriminalized), Overspeeding"
rinki,f,Haldia,West Bengal,66,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Online harassment"
nitin kumar_1.0,m,Bellary,Karnataka,21,"Hacking, Cruelty by husband or relatives (Sec 498A)"
yogesh,m,Nanded,Maharashtra,47,"Unlawful activities (UAPA), Driving without a license, Narcotic Drugs and Psychotropic Substances offences (NDPS Act)"
juhi_1.0,f,Bidar,Karnataka,63,"Rape (Sec 376), Sexual offences against children (POSCO Act), Breach of contract"
ramwati,f,Budaun,Uttar Pradesh,55,"Hacking, Violation of traffic signals, Dowry death (Sec 304B)"
mahipal_1.0,m,Tuticorin,Tamil Nadu ,74,"Criminal misappropriation (Sec 403), Pollution Control Board violations, Child custody"
nandu bai,f,Nalgonda,Telangana,21,"Cyber stalking, Extortion (Sec 383), Sedition (Sec 124A)"
rajesh_1.0,m,Sonipat,Haryana,41,"Sexual offences against children (POSCO Act), Adultery (Sec 497 now decriminalized)"
manbai rekwar,f,DehraDun,Uttarakhand,61,Partition suits
bharat,m,Brajrajnagar,Odisha,22,"Dacoity (Sec 395), Murder (Sec 302)"
pooja devi,f,Kolkata ,West Bengal,63,Unlawful activities (UAPA)
mahender @manish,m,Tuticorin,Tamil Nadu ,24,"Online harassment, Kidnapping (Sec 363–369), Forgery (Sec 463)"
subham,m,Davangere,Karnataka,37,"Sedition (Sec 124A), Theft (Sec 378)"
smt. seema,f,Saidapur,Uttar Pradesh,71,Fraud
geeta_3.0,f,Brajrajnagar,Odisha,45,"Consumer complaints, Online harassment"
sadhna_1.0,f,Surat,Gujarat,58,"Online harassment, Civil contempt, Waging war against the Government (Sec 121)"
para,f,Panipat,Haryana,64,"Illegal possession or use of arms (Arms Act), Breach of contract, Environmental violations (EPA)"
krishna,f,Bhiwandi,Maharashtra,61,Fraud
jyoti_5.0,f,Rohtak,Haryana,37,"Unlawful activities (UAPA), Sexual offences against children (POSCO Act)"
rohit_5.0,m,Hindupur,Andhra Pradesh,26,Online harassment
yogesh sharma,m,Chennai,Tamil Nadu ,23,Unlawful activities (UAPA)
multan singh,m,Kurnool,Andhra Pradesh,44,"Data theft, Culpable homicide (Sec 304), Dowry death (Sec 304B)"
meghanath suwedi,m,Bareilly,Uttar Pradesh,31,"Online harassment, Waging war against the Government (Sec 121)"
anju_4.0,f,Bhiwani,Haryana,66,Cheating (Sec 415)
vinay_1.0,m,Faridabad,Haryana,29,"Adultery (Sec 497 now decriminalized), Criminal contempt"
shabnam_2.0,f,DehraDun,Uttarakhand,47,Adultery (Sec 497 now decriminalized)
ramanand jha,m,Calicut,Kerala,44,"Abetment of suicide (Sec 306), Online harassment, Sexual offences against children (POSCO Act)"
sima_1.0,f,Alwar,Rajasthan,73,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Criminal breach of trust (Sec 405)"
sandeep_2.0,m,Hyderabad,Telangana,20,"Partition suits, Theft (Sec 378)"
firoj_1.0,m,Bhilai,Chhattisgarh,73,"Murder (Sec 302), Hacking, Culpable homicide (Sec 304)"
rekha_1.0,f,Pali,Rajasthan,26,Civil contempt
deepanshi jain,f,Ajmer,Rajasthan,62,"Atrocities against SC/ST (SC/ST Act), Cyber stalking"
brij raj,m,Hubli,Karnataka,53,Narcotic Drugs and Psychotropic Substances offences (NDPS Act)
neha_5.0,f,Srinagar,Jammu and Kashmir,75,"Atrocities against SC/ST (SC/ST Act), Sexual offences against children (POSCO Act)"
rajesh_2.0,m,Kolkata ,West Bengal,77,"Extortion (Sec 383), Culpable homicide (Sec 304), Violation of traffic signals"
aashma,f,Porbandar,Gujarat,80,"Fraud, Partition suits, Cruelty by husband or relatives (Sec 498A)"
aarti_4.0,f,Alipurduar,West Bengal,47,Criminal contempt
krishna giri,m,Gwalior,Madhya Pradesh,40,"Violation of traffic signals, Adultery (Sec 497 now decriminalized)"
ranju devi,f,Bhatpara,West Bengal,54,"Atrocities against SC/ST (SC/ST Act), Concealing intent to wage war (Sec 123), Theft (Sec 378)"
pawan kumar_3.0,m,Kagaznagar,Andhra Pradesh,61,Driving without a license
laxmi_5.0,f,Imphal,Manipur,33,Abetment of suicide (Sec 306)
seema_9.0,f,Brahmapur,Odisha,28,Money laundering (PMLA)
ankit,m,Guntur,Andhra Pradesh,26,Robbery (Sec 392)
manju_3.0,f,Gulbarga,Karnataka,24,"Civil contempt, Consumer complaints"
ashok kumar_3.0,m,Shimoga,Karnataka,22,"Child custody, Atrocities against SC/ST (SC/ST Act), Criminal misappropriation (Sec 403)"
smt gita,f,Proddatur,Andhra Pradesh,44,Fraud
rubi_1.0,f,Rajapalaiyam,Tamil Nadu ,21,"Assault (Sec 351), Robbery (Sec 392), Money laundering (PMLA)"
satish sindhi,m,Valparai,Tamil Nadu ,57,"Waging war against the Government (Sec 121), Adultery (Sec 497 now decriminalized), Murder (Sec 302)"
yashoda,f,Kota,Rajasthan,48,Atrocities against SC/ST (SC/ST Act)
rajesh_3.0,m,Chanda,Maharashtra,61,"Culpable homicide (Sec 304), Adultery (Sec 497 now decriminalized), Drunk driving"
chuni devi,f,Bilaspur,Chhattisgarh,80,Breach of contract
jagbir singh,m,Bulandshahr,Uttar Pradesh,29,"Robbery (Sec 392), Criminal misappropriation (Sec 403)"
shahnaz khatum,f,Alipurduar,West Bengal,33,"Murder (Sec 302), Abetment of suicide (Sec 306)"
narender,m,Khammam,Telangana,75,"Attempt to murder (Sec 307), Illegal possession or use of arms (Arms Act)"
pankaj kumar,m,Haripur,Punjab,29,Dowry death (Sec 304B)
vakil,m,Patiala,Punjab,29,"Breach of contract, Forgery (Sec 463)"
rahul_3.0,m,Jorhat,Assam,69,Cyber stalking
justin,m,Davangere,Karnataka,69,"Divorce and matrimonial issues, Murder (Sec 302), Illegal possession or use of arms (Arms Act)"
abhishek_3.0,m,Purnea,Bihar,54,"Cheating (Sec 415), Data theft, Rape (Sec 376)"
neha_6.0,f,Meerut,Uttar Pradesh,64,"Forgery (Sec 463), Sexual offences against children (POSCO Act)"
sandeep_3.0,m,Nasik,Maharashtra,29,Dacoity (Sec 395)
sitara  khatun,f,Bhiwandi,Maharashtra,44,Violation of traffic signals
gunja devi,f,Bhuj,Gujarat,64,"Theft (Sec 378), Culpable homicide (Sec 304), Adultery (Sec 497 now decriminalized)"
soni kumari,f,Nalgonda,Telangana,36,"Partition suits, Breach of contract"
shalu_2.0,f,Rampura,Rajasthan,79,"Hacking, Robbery (Sec 392)"
raghav sharma,m,Puri,Odisha,43,Violation of traffic signals
mithlesh,f,Parbhani,Maharashtra,63,Sexual offences against children (POSCO Act)
anita_5.0,f,Puri,Odisha,49,"Dacoity (Sec 395), Kidnapping (Sec 363–369)"
dharmender sahu,m,Gopalpur,Uttar Pradesh,73,Cheating (Sec 415)
janwi  chaudhary,f,Bhiwandi,Maharashtra,45,"Environmental violations (EPA), Forgery (Sec 463)"
tulsi,f,Delhi,Delhi,63,"Murder (Sec 302), Assault (Sec 351)"
preeti singh,f,Jhansi,Uttar Pradesh,55,"Kidnapping (Sec 363–369), Divorce and matrimonial issues"
pushpa tejshri,f,Salem,Tamil Nadu ,69,Dowry death (Sec 304B)
bhola yadav,m,Belgaum,Karnataka,73,Forgery (Sec 463)
pawan,m,Firozabad,Uttar Pradesh,35,Land encroachment
goldy,m,Kolhapur,Maharashtra,79,Fraud
rajan,m,Tharati Etawah,Uttar Pradesh,47,"Money laundering (PMLA), Criminal misappropriation (Sec 403)"
begraj singh,m,Tonk,Rajasthan,49,"Online harassment, Abetment of suicide (Sec 306)"
mamta_7.0,f,Karur,Tamil Nadu ,55,"Child custody, Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Data theft"
khushbari@ khushi,f,Ujjain,Madhya Pradesh,59,"Murder (Sec 302), Environmental violations (EPA)"
devendri,f,Udaipur,Rajasthan,44,"Drunk driving, Environmental violations (EPA), Abetment of suicide (Sec 306)"
iswer singh,m,Muzaffarpur,Bihar,77,"Fraud, Extortion (Sec 383)"
rita,f,Agra,Uttar Pradesh,37,Kidnapping (Sec 363–369)
rekha_2.0,f,Tonk,Rajasthan,50,Adultery (Sec 497 now decriminalized)
gappu,m,Mysore,Karnataka,33,Land encroachment
anjali_7.0,f,Hata,Uttar Pradesh,30,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Culpable homicide (Sec 304), Atrocities against SC/ST (SC/ST Act)"
ajay_3.0,m,Sikar,Rajasthan,65,"Dacoity (Sec 395), Overspeeding"
shweta_1.0,f,Asansol,West Bengal,28,Adultery (Sec 497 now decriminalized)
suman_3.0,f,Ahmadnagar,Maharashtra,80,"Dowry death (Sec 304B), Environmental violations (EPA)"
ku rangeeta,f,Muzaffarpur,Bihar,77,"Extortion (Sec 383), Murder (Sec 302), Partition suits"
rajni_1.0,f,Ongole,Andhra Pradesh,30,"Narcotic Drugs and Psychotropic Substances offences (NDPS Act), Dacoity (Sec 395)"
om parkash,m,Jorapokhar,Jharkhand,73,"Dowry death (Sec 304B), Cheating (Sec 415)"
sapna_2.0,f,Chandigarh ,Chandigarh,38,"Divorce and matrimonial issues, Fraud"
kalu luhar,m,Porbandar,Gujarat,41,"Hacking, Murder (Sec 302)"
smt mamata,f,Chandigarh ,Chandigarh,31,"Divorce and matrimonial issues, Partition suits, Dowry death (Sec 304B)"
satish_2.0,m,Jorhat,Assam,77,"Attempt to murder (Sec 307), Partition suits"
ramchander nuriya,m,Daman,Daman and Diu,56,Dacoity (Sec 395)
simabharti,f,Mysore,Karnataka,36,"Criminal contempt, Criminal misappropriation (Sec 403)"
gona bai,f,Abohar,Punjab,61,"Unlawful activities (UAPA), Money laundering, Sexual offences against children (POSCO Act)"
anjli,f,Ghandinagar,Gujarat,67,Criminal misappropriation (Sec 403)
abhiraj yadav,m,Puducherry,Puducherry,44,"Murder (Sec 302), Atrocities against SC/ST (SC/ST Act)"
virender,m,Calicut,Kerala,74,Breach of contract
jamil khan,m,Gwalior,Madhya Pradesh,46,"Rape (Sec 376), Hacking, Violation of traffic signals"
parven,m,Ranchi,Jharkhand,31,Cheating (Sec 415)
parmod_1.0,m,Muzaffarpur,Bihar,41,Unlawful activities (UAPA)
babita_1.0,f,Pali,Rajasthan,79,"Money laundering, Consumer complaints"
babita negi,f,Khanapur,Maharashtra,75,"Sedition (Sec 124A), Hacking"
bharti_2.0,f,Samlaipadar,Odisha,34,Criminal misappropriation (Sec 403)
soniya_5.0,f,Bhatpara,West Bengal,59,Sedition (Sec 124A)
manoj kumar_3.0,m,Puducherry,Puducherry,55,"Pollution Control Board violations, Robbery (Sec 392), Criminal breach of trust (Sec 405)"
chanchal_1.0,f,Patiala,Punjab,78,"Cruelty by husband or relatives (Sec 498A), Robbery (Sec 392)"
neha_7.0,f,Panaji,Goa,22,"Dowry death (Sec 304B), Waging war against the Government (Sec 121), Dacoity (Sec 395)"
suraja ram,m,Dibrugarh,Assam,74,Dowry death (Sec 304B)
smt mariyam,f,Khanapur,Maharashtra,57,"Breach of contract, Attempt to murder (Sec 307)"
kirtiman,m,Salem,Tamil Nadu ,60,Violation of traffic signals
arsi,f,Daman,Daman and Diu,37,"Adultery (Sec 497 now decriminalized), Criminal breach of trust (Sec 405), Forgery (Sec 463)"
